Key,SourceString
Add green shade and local gathering spaces.”,أضف المساحات الخضراء ومناطق التجمع المحلية.
Build a Better Muscat,بناء مسقط أفضل
Click and drag an upgrade into the 3D city model. Drop it to activate changes.,انقر واسحب أي ترقية إلى نموذج المدينة ثلاثي الأبعاد. حررها لتفعيل التغييرات.
Congratulations!,تهانينا!
Connected,مترابط
"Discover how today’s choices shape tomorrow’s city greener, connected, and built for happiness",اكتشف كيف تُسهم اختياراتك اليوم في تشكيل مدينة الغد أكثر خُضرة وترابطًا، ومصمّمة للسعادة.
Drag and drop to start building a better Muscat,اسحب وأفلت للبدء في بناء مسقط أفضل
Each upgrade changes the Six Pillars:,كل ترقية تؤثر على الأعمدة الستة:
Greener,أخضر
Happiness,السعادة
Home,الرئيسية
How to Play: Build a Better Muscat,كيفية اللعب: بناء مسقط أفضل
Instructions,التعليمات
Liveable,صالح للعيش
NZC,الهدف: صافي صفر انبعاثات (NZC)
Play Again,العب مرة أخرى
Productive,منتج
Progress to 2040,التقدم نحو 2040
Regenerating Muscat,إعادة إحياء مسقط
Resilient,مرن
Restart,إعادة التشغيل
Start Building,ابدأ البناء
Step 1: Explore Options,الخطوة 1: استكشاف الخيارات
Step 2: Drag & Drop,الخطوة 2: السحب والإفلات
Step 3: Watch the Impact,الخطوة 3: شاهد التأثير
Step 4: Track Happiness,الخطوة 4: متابعة السعادة
Step 5: Experiment Freely,الخطوة 5: جرب بحرية
Tap to Start,اضغط للبدء
Use Undo/Redo or Reset anytime. Mix upgrades to find the best balance.,استخدم التراجع/الإعادة أو إعادة الضبط في أي وقت. اجمع بين الترقيات لإيجاد أفضل توازن.
"Your choices raise or lower the Happiness Meter.
Reach 100% Happiness to win and unlock a celebration!","خياراتك ترفع أو تخفض مؤشر السعادة.
وصل إلى 100% سعادة للفوز وفتح الاحتفال!"
"Your city is now greener, more connected, resilient, liveable, productive, and on the path to net zero.",مدينتك أصبحت الآن أكثر خضرة، وأكثر ترابطًا، ومرونة، وصالحة للعيش، ومنتجة، وعلى طريق صافي صفر انبعاثات.
"Discover how today’s choices shape tomorrow’s city greener, connected, and built for happiness",اكتشف كيف تُسهم اختياراتك اليوم في تشكيل مدينة الغد أكثر خُضرة وترابطًا، ومصمّمة للسعادة.
